id,trader,estimator,features_used,target_used,normalizer,optimizer,learning_rate,criterion,eps_scheduler,epsilon,epsilon_final,epsilon_decay,action_space,window_size,batch_size,n_episodes,replay_size,sync_steps,prob_alpha,beta_start,train_profit,valid_profit,train_reward,valid_reward,observation
0,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,996.517,498.602,1.217,2.813,Use all features from features_used field
1,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,4462.111,994.86,5.194,4.253,Use all features from features_used field
2,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,15,32,1000,1000,1000,0.6,0.4,3770.083,1406.626,4.288,5.829,Use all features from features_used field
3,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,25.839000000000002,653.4069999999998,0.040999999999999995,3.216,Use all features from features_used field
4,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,996.898,1159.477,1.26,4.919,Use all features from features_used field
5,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,15,32,1000,1000,1000,0.6,0.4,1777.317,628.294,2.024,3.1060000000000003,Use all features from features_used field
6,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,5,32,1000,1000,1000,0.6,0.4,5428.047,1011.546,6.172999999999999,4.377,Use all features from features_used field
7,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,1291.2830000000001,903.322,1.611,3.9139999999999997,Use all features from features_used field
8,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,15,32,1000,1000,1000,0.6,0.4,691.341,109.151,0.8270000000000001,1.219,Use all features from features_used field
9,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,4476.28,810.8539999999997,5.087,3.8160000000000003,Use all features from features_used field
10,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,859.7410000000001,984.427,1.093,4.328,Use all features from features_used field
11,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,15,32,1000,1000,1000,0.6,0.4,4109.894,936.39,4.67,4.308,Use all features from features_used field
12,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,889.7819999999997,872.363,1.301,4.055,Use all features from features_used field
